Domain,L0,Time Used,Time
mail.google.com,Comms,9,2017-02-13T19:24:10.210Z
vueling.com,Shop,2,2017-02-13T19:23:55.932Z
app.respondent.io,Other,1,2017-02-13T19:23:53.707Z
mail.google.com,Comms,4,2017-02-13T19:23:49.242Z
mail.google.com,Comms,12,2017-02-13T19:23:36.911Z
mail.google.com,Comms,57,2017-02-13T19:22:39.813Z
mail.google.com,Comms,2,2017-02-13T19:22:37.743Z
mail.google.com,Comms,6,2017-02-13T19:22:31.914Z
mail.google.com,Comms,25,2017-02-13T19:21:50.452Z
mail.google.com,Comms,9,2017-02-13T19:21:40.954Z
mail.google.com,Comms,4,2017-02-13T19:21:37.027Z
mail.google.com,Comms,8,2017-02-13T19:21:28.998Z
mail.google.com,Comms,2,2017-02-13T19:21:26.701Z
mail.google.com,Comms,4,2017-02-13T19:21:23.017Z
mail.google.com,Comms,4,2017-02-13T19:21:18.724Z
mail.google.com,Comms,3,2017-02-13T19:21:15.730Z
mail.google.com,Comms,3,2017-02-13T19:21:12.976Z
airbnb.io,Other,1,2017-02-13T19:20:04.346Z
airbnb.io,Other,1,2017-02-13T19:20:02.563Z
airbnb.io,Other,2,2017-02-13T19:20:01.279Z
app.respondent.io,Other,4,2017-02-13T19:19:56.208Z
app.respondent.io,Other,12,2017-02-13T19:19:42.932Z
mail.google.com,Comms,38,2017-02-13T19:19:04.999Z
mail.google.com,Comms,6,2017-02-13T19:18:59.053Z
prep.hackreactor.com,Other,2,2017-02-13T19:18:56.729Z
mail.google.com,Comms,1,2017-02-13T19:18:55.703Z
mail.google.com,Comms,1,2017-02-13T19:18:54.349Z
mail.google.com,Comms,2,2017-02-13T19:18:52.559Z
mail.google.com,Comms,31,2017-02-13T19:18:21.635Z
mail.google.com,Comms,2,2017-02-13T19:18:19.157Z
drive.google.com,Work,10,2017-02-13T19:04:53.086Z
docs.google.com,Work,2,2017-02-13T19:04:49.848Z
drive.google.com,Work,4,2017-02-13T19:04:42.566Z
mail.google.com,Comms,1,2017-02-13T19:04:39.773Z
mail.google.com,Comms,1,2017-02-13T19:04:38.376Z
mail.google.com,Comms,3,2017-02-13T19:04:35.299Z
mail.google.com,Comms,5,2017-02-13T19:04:30.687Z
airbnb.io,Other,600,2017-02-13T19:03:50.508Z
